,recipient_parent_name1,current_award,potential_award,offers_received,num_employees,annual_revenue,award_count,recipient_name,organizational_type,business_size,year,recipient_name_clean,Cycle,Democrats,Individuals,PACs,Republicans,Soft_Indivs,Soft_Orgs,Total,Total1,org_id,org_name,org_name_clean,DemShare,RepShare
46,DOMINIONRESOURCESINC,116768387.3,117416685.5,16,10004.11765,5429084253.0,1,DOMINION RESOURCES  INC.,,OTHER THAN SMALL BUSINESS,2008,dominion resources,2008,395159,315610,553524,471475,0,0,866634,866634,D000000335,DOMINION RESOURCES,dominion resources,0.4559698788646649,0.5440301211353351
47,DUKEENERGYCORPORATION,880247.92,880247.92,4,14581.0,8000000000.0,1,DUKE ENERGY CORPORATION,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008,duke energy,2008,318497,198130,654500,533833,0,0,852330,852330,D000000477,DUKE ENERGY,duke energy,0.37367803550268086,0.6263219644973191
48,DYNAMICSRESEARCHCORPORATION,34253539.2,34416453.17,39,1070.1555560000002,110673686.0,1,DYNAMICS RESEARCH CORPORATION,,SMALL BUSINESS,2008,dynamics research,2008,2750,12400,7750,17400,0,0,20150,20150,D000025611,DYNAMICS RESEARCH CORP,dynamics research,0.13647642679900746,0.8635235732009926
49,DYNETICSINC,9826266.25,9826266.25,1027,1296.080659,381267558.1,1,"DYNETICS, INC.",,SMALL BUSINESS,2008,dynetics,2008,8000,38900,62300,93200,0,0,101200,101200,D000025614,DYNETICS INC,dynetics,0.07905138339920949,0.9209486166007905
50,EATONCORPORATION,5856741.68,62431618.48,193,15383.20415,2192785433.0,1,EATON CORPORATION,,OTHER THAN SMALL BUSINESS,2008,eaton,2008,35850,109932,21600,95682,0,0,131532,131532,D000025623,EATON CORP,eaton,0.27255724842623846,0.7274427515737615
51,EDISONINTERNATIONAL,7515441.32,7515441.32,3,6500.0,4000000000.0,1,EDISON INTERNATIONAL,,OTHER THAN SMALL BUSINESS,2008,edison,2008,316852,100502,538200,321450,0,0,638302,638302,D000000239,EDISON INTERNATIONAL,edison,0.4963982566246072,0.5036017433753929
52,ELBITSYSTEMSLTD,1379417.14,2685157.14,142,539.3317308,49529660.98,1,ELBIT SYSTEMS LTD,,OTHER THAN SMALL BUSINESS,2008,elbit systems,2008,4500,1000,8500,5000,0,0,9500,9500,D000043128,ELBIT SYSTEMS,elbit systems,0.47368421052631576,0.5263157894736842
53,ENERSYS,27662.5,27662.5,4,7750.0,725000005.0,1,ENERSYS,,OTHER THAN SMALL BUSINESS,2008,enersys,2008,5250,250,10000,5000,0,0,10250,10250,D000014190,ENERSYS,enersys,0.5121951219512195,0.4878048780487805
54,ENSIGNBICKFORDINDUSTRIESINC,29979001.44,29979001.44,45,453.64583330000005,93066200.0,1,ENSIGN-BICKFORD INDUSTRIES  INC.,,SMALL BUSINESS,2008,ensignbickford industries,2008,9350,9350,3500,3500,0,0,12850,12850,D000025694,ENSIGN-BICKFORD INDUSTRIES,ensignbickford industries,0.7276264591439688,0.2723735408560311
55,ENVIRONMENTALCHEMICALCORPORATION,10425827.35,10425827.35,575,318.6081046,261331428.4,1,ENVIRONMENTAL CHEMICAL CORPORATION,,SMALL BUSINESS,2008,environmental chemical,2008,1750,0,1750,0,0,0,1750,1750,D000025705,ENVIRONMENTAL CHEMICAL CORP,environmental chemical,1.0,0.0
56,EPSILONSYSTEMSSOLUTIONSINC,78281722.02,194558415.0,1489,429.384269,55832149.49,1,"EPSILON SYSTEMS SOLUTIONS, INC.",,OTHER THAN SMALL BUSINESS,2008,epsilon systems solutions,2008,7730,18030,6650,16950,0,0,24680,24680,D000025710,EPSILON SYSTEMS SOLUTIONS,epsilon systems solutions,0.3132090761750405,0.6867909238249594
57,ERNSTYOUNGLLP,61647083.46,101595374.0,117,17277.05628,2629870130.0,1,ERNST & YOUNG LLP,,OTHER THAN SMALL BUSINESS,2008,ernst young,2008,1164521,1521924,1100753,1456656,0,0,2621177,2621177,D000000098,ERNST & YOUNG,ernst young,0.44427407992668944,0.5557259200733106
58,EXELONCORPORATION,6018505.61,6020605.56,3,6300.0,3249999854.0,1,EXELON CORPORATION,,OTHER THAN SMALL BUSINESS,2008,exelon,2008,886772,667347,932199,702524,0,0,1589296,1589296,D000000368,EXELON CORP,exelon,0.5579652877752161,0.4420347122247838
59,EXPRESSSCRIPTSINC,6509383884.0,6515477384.0,10,11070.0,17673699664.0,1,EXPRESS SCRIPTS  INC.,CORPORATE NOT TAX EXEMPT,OTHER THAN SMALL BUSINESS,2008,express scripts,2008,257566,115377,290500,148311,0,0,405877,405877,D000021977,EXPRESS SCRIPTS,express scripts,0.6345912677978797,0.36540873220212033
60,FEDEXCORPORATION,14513319.04,14231148.04,1188,191379.1362,5321525872.0,1,FEDEX CORPORATION,,OTHER THAN SMALL BUSINESS,2008,fedex,2008,904491,232681,1950000,1271984,0,0,2176475,2176475,D000000089,FEDEX CORP,fedex,0.41557610356195224,0.5844238964380477
61,FLIRSYSTEMSINC,7225532.0,7225532.0,72,782.1666667000001,58200456.98,1,"FLIR SYSTEMS, INC.",,OTHER THAN SMALL BUSINESS,2008,flir systems,2008,14850,37625,10500,33275,0,0,48125,48125,D000025840,FLIR SYSTEMS,flir systems,0.30857142857142855,0.6914285714285714
62,FLORIDATURBINETECHNOLOGIESINC,2945731.0,2945731.0,237,128.3333333,17220000.0,1,FLORIDA TURBINE TECHNOLOGIES INC.,,SMALL BUSINESS,2008,florida turbine technologies,2008,65000,57100,16000,8100,0,0,73100,73100,D000025861,FLORIDA TURBINE TECHNOLOGIES,florida turbine technologies,0.8891928864569083,0.11080711354309165
