,t1,t2,score
3807617,noah enterprises,ssab enterprises,0.1875
1876164,aci technologies,bwx technologies,0.1875
21971053,msk construction,hm construction,0.1875
6884589,dew construction,hm construction,0.1875
2954733,dpr construction,hm construction,0.1875
19384388,stg technologies,bwx technologies,0.1875
19384294,stg technologies,ca technologies,0.1875
32824941,r c construction,hm construction,0.1875
16807030,jsl technologies,icx technologies,0.1875
19382902,stg technologies,icx technologies,0.1875
568340,macro industries,enpro industries,0.1875
1769879,nustar energy lp,nustar energy,0.1875
13862390,e2 technologies,icx technologies,0.1875
22796774,ehs technologies,ca technologies,0.1875
19381022,stg technologies,fmc technologies,0.1875
16805150,jsl technologies,fmc technologies,0.1875
8728644,cnf technologies,bwx technologies,0.1875
13308028,tac industries,texas industries,0.1875
14612205,sdv construction,hm construction,0.1875
9361604,seb technologies,bwx technologies,0.1875
28630893,rnr construction,hm construction,0.1875
18737054,mei technologies,fmc technologies,0.1875
26147151,ebsco industries,nacco industries,0.1875
5349094,mtc technologies,ca technologies,0.1875
28664132,ncs technologies,bwx technologies,0.1875
18409965,p s construction,hm construction,0.1875
32563092,lenco industries,enpro industries,0.1875
9449453,apc construction,hm construction,0.1875
7620854,bam technologies,icx technologies,0.1875
780653,cox construction,hm construction,0.1875
22795382,ehs technologies,icx technologies,0.1875
32020086,drs technologies,icx technologies,0.1875
17841782,g3 technologies,icx technologies,0.1875
22796868,ehs technologies,bwx technologies,0.1875
33193709,r b construction,hm construction,0.1875
8392900,dh technologies,bwx technologies,0.1875
29770436,ls technologies,bwx technologies,0.1875
12295142,blh technologies,ca technologies,0.1875
4481694,x technologies,fmc technologies,0.1875
5347702,mtc technologies,icx technologies,0.1875
9361510,seb technologies,ca technologies,0.1875
36702110,cdo technologies,fmc technologies,0.1875
12291870,blh technologies,fmc technologies,0.1875
36925421,koo construction,hm construction,0.1875
30491245,rjs construction,hm construction,0.1875
32021478,drs technologies,ca technologies,0.1875
13389891,neumann brothers,lehman brothers,0.1875
14298477,bvb construction,hm construction,0.1875
8391414,dh technologies,icx technologies,0.1875
25421825,jgb enterprises,ssab enterprises,0.1875
36705476,cdo technologies,bwx technologies,0.1875
7481374,zin technologies,fmc technologies,0.1875
25934148,tau technologies,bwx technologies,0.1875
25930782,tau technologies,fmc technologies,0.1875
28660766,ncs technologies,fmc technologies,0.1875
651952,chart industries,giant industries,0.1875
30546500,s d technologies,bwx technologies,0.1875
14038518,sj technologies,icx technologies,0.1875
7618974,bam technologies,fmc technologies,0.1875
21140164,cgh technologies,bwx technologies,0.1875
14036638,sj technologies,fmc technologies,0.1875
14028781,ipi construction,hm construction,0.1875
